attachments/media_keys/0,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,created_at,id,possibly_sensitive,reply_settings,author_id,lang,conversation_id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,geo/place_id,source,text,referenced_tweets/0/type,referenced_tweets/0/id,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,in_reply_to_user_id,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,attachments/media_keys/1,attachments/media_keys/2,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/1/entity/description,context_annotations/2/entity/description,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag
"3,13896569720232E+019",720,4,190,11,0,16,ServicioPúblico,38,59,0.9795,Person,Carlos Olivares Romero,88,92,0.2666,Person,Covid,124,147,https://t.co/JRDbFb7KlU,https://twitter.com/tibisayromero/status/1389656974493683716/photo/1,pic.twitter.com/JRDbFb7KlU,2021-05-04T19:03:35+00:00,"1,38965697449368E+018",False,everyone,116876568,es,"1,38965697449368E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,015d19216c749864,Twitter for Android,#ServicioPúblico para mi primo médico Carlos Olivares Romero que está hospitalizado por Covid-19. Toda ayuda es importante. https://t.co/JRDbFb7KlU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,,,,,,,,,,,,,,,,,,2021-05-02T17:47:02+00:00,"1,38891293129173E+018",False,everyone,4896298383,es,"1,38888566241429E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,00914f80743a0863,Twitter for Android,"@somos_ejercito Cuidate y cuida a los tuyos, se preventivo y ayuda el luchar contra el Covid-19.",replied_to,"1,38888566241429E+018",0,15,somos_ejercito,"1,25819747891194E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,2,0,,,,,,,,,,,,,,,,,,,2021-04-29T21:29:08+00:00,"1,38788166167364E+018",False,everyone,146620961,es,"1,38782262223961E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,00ec4c32070f5076,Twitter for Android,"@noymporta Es triste e indignante que los familiares de  un docente universitario fallecido por el covid 19, estén solicitando ayuda por los gastos funerarios, @aeusb  pueden aportar colaboración",replied_to,"1,38782262223961E+018",0,10,noymporta,"9,04525655173468E+017",160,166,aeusb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,,,27,30,0.8299,Place,EEUU,49,53,0.4811,Place,India,114,137,https://t.co/MwJ3bHqTuT,https://cnnespanol.cnn.com/2021/04/26/india-estados-unidos-ayuda-covid-19-trax/,cnnespanol.cnn.com/2021/04/26/ind…,2021-04-26T22:08:14+00:00,"1,38680433825806E+018",False,everyone,50207358,es,"1,38680433825806E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,0044180c6370cf09,Twitter for Android,"LUEGO LOS ZURDOS DIRAN QUE EEUU ES IMPERIALISTA.""India covid-19: EE.UU. enviará ayuda para enfrentar devastación"" https://t.co/MwJ3bHqTuT",,,,,,,,,,65,70,0.5654,Place,EE.UU.,https://pbs.twimg.com/news_img/1386579208533651456/83HX9OYr?format=jpg&name=orig,1200,675,https://pbs.twimg.com/news_img/1386579208533651456/83HX9OYr?format=jpg&name=150x150,150,150,200,EE.UU. enviará ayuda a la India para enfrentar devastación por covid-19,"El Gobierno de Estados Unidos enviará suministros y apoyo adicionales a la India mientras el país asiático se enfrenta a un aumento en los casos de coronavirus, anunció la Casa Blanca el domingo.",https://cnnespanol.cnn.com/2021/04/26/india-estados-unidos-ayuda-covid-19-trax/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,13867799528766E+019",16,0,4,0,,,,14,26,0.9815,Person,Tibisay Rojas,,,,,,92,115,https://t.co/BJzenQRyDD,https://twitter.com/wjtovar/status/1386779955212783622/photo/1,pic.twitter.com/BJzenQRyDD,2021-04-26T20:31:21+00:00,"1,38677995521278E+018",False,everyone,226712008,es,"1,38677995521278E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,0047c84e70b9501b,Twitter for Android,"Nuestra amiga Tibisay Rojas necesita ayuda para superar el Covid-19. 
Aquí más información! https://t.co/BJzenQRyDD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,,,154,158,298,Organization,Covid,167,195,0.6917,Person,Cadete Yackson Chacon Delgado,,,,,,2021-04-24T17:53:21+00:00,"1,38601541932516E+018",False,everyone,"1,38594564734655E+018",es,"1,3859357827504E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,0121aea503f5101e,Twitter for Android,"@jonimar93780844 Yo apoyo y felicito a la academia de la guardia nacional , con esta presentación que nos ayuda a tomar conciencia para la prevención del Covid 19.... Cadete Yackson Chacon Delgado",replied_to,"1,38598466946906E+018",0,16,jonimar93780844,"1,38594564734655E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0,8,0,257,280,ANBuscaVacunaParaTodos,,,,,,,,,,,,,,,,2021-04-24T01:06:29+00:00,"1,38576203430283E+018",False,everyone,"1,09470737383342E+018",es,"1,38576203430283E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,00cfdfc429c27ec3,Twitter for Android,"El Gobierno (E) y la @AsambleaVE están dándolo todo por salvar vidas. Reiteraron compromiso para destinar esfuerzos y acciones necesarias para lograr la ayuda humanitaria, obtención urgente de vacunas para COVID-19 y la restitución del orden constitucional #ANBuscaVacunaParaTodos",,,21,32,AsambleaVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,13853385420969E+019",5,0,0,1,,,,19,30,0.9953,Person,Oswaldo Vera,69,87,0.7168,Place,La Chet de Valencia,132,155,https://t.co/kLl1uo7TOl,https://twitter.com/ArtigasMijail/status/1385338570022473732/photo/1,pic.twitter.com/kLl1uo7TOl,2021-04-22T21:03:48+00:00,"1,38533857002247E+018",False,everyone,2728669342,es,"1,38533857002247E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01d2c60742813a0e,Twitter for Android,"Ayuda para mi pana Oswaldo Vera, el popular conejo. Hospitalizado en La Chet de Valencia por Covid 19. Dios le pague y multiplique. https://t.co/kLl1uo7TOl",,,,,,,,,,103,106,0.5148,Other,Dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,13853332563762E+019",0,0,1,0,,,,1,11,473,Person,May Pacheco,197,203,0.6055,Person,Pacheco,273,296,https://t.co/XqpPBYDzpV,https://twitter.com/paulespy111/status/1385333286285811715/photo/1,pic.twitter.com/XqpPBYDzpV,2021-04-22T20:42:48+00:00,"1,38533328628581E+018",False,everyone,"1,10891887528506E+018",es,"1,38533328628581E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01c93e351e3122fb,Twitter for Android,"""May Pacheco nos necesita"". 
 dió positivo a covid-19.
 Se agradece toda la ayuda que puedan brindar.
Un familiar directo de May donde podrán realizar dicho aporte. 
01050148267148017793
Adolfredo Pacheco
Cuenta de ahorro 
C.I. V.-5977429
💲: julio.pachecoclt1234@gmail.com https://t.co/XqpPBYDzpV",,,,,,,,,,,,,,,,,,,,,,,,,"3,13853332745334E+019","3,13853332787654E+019",273,296,https://t.co/XqpPBYDzpV,https://twitter.com/paulespy111/status/1385333286285811715/photo/1,pic.twitter.com/XqpPBYDzpV,273,296,https://t.co/XqpPBYDzpV,https://twitter.com/paulespy111/status/1385333286285811715/photo/1,pic.twitter.com/XqpPBYDzpV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,16,ServicioPublico,,,,,,,,,,,84,107,https://t.co/IXleUgvnBs,https://gofund.me/79dfbca1,gofund.me/79dfbca1,2021-04-21T14:32:36+00:00,"1,38487773672912E+018",False,everyone,118116171,es,"1,38487773672912E+018",,,,,,008eb02a542ac3d4,Twitter for iPhone,"#ServicioPublico Les pido su colaboración para difundir o donar 🙏🏻 Es para mi papá 
https://t.co/IXleUgvnBs",,,,,,,,,,,,,,,https://pbs.twimg.com/news_img/1382882313655160834/rRBXa_-l?format=jpg&name=orig,810,457,https://pbs.twimg.com/news_img/1382882313655160834/rRBXa_-l?format=jpg&name=150x150,150,150,200,"Ayuda a Tony a superar el Covid 19, organized by Daniela Osio","Mi papá tiene 76 años y el covid 19 le provocó una fuerte neumonía, por lo tanto debe… Daniela Osio needs your support for Ayuda a Tony a superar el Covid 19",https://www.gofundme.com/f/ayuda-a-tony-a-superar-el-covid-19?utm_campaign=p_nacp+share-sheet&utm_medium=copy_link&utm_source=customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,13847043890935E+019",0,0,0,0,,,,27,58,0.3755,Place,Universidad Francisco de Miranda,87,91,0.3569,Place,Covid,226,249,https://t.co/r4jY0929MS,https://twitter.com/jesusamarcano/status/1384704408634761216/photo/1,pic.twitter.com/r4jY0929MS,2021-04-21T03:03:52+00:00,"1,38470440863476E+018",False,everyone,108985734,es,"1,38470440863476E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01bdcd88529c1365,Twitter for Android,"Mi sobrino, profesor de la Universidad Francisco de Miranda, Punto Fijo, contagiado de Covid-19, necesita una mano solidaria, ha ido evolucionando positivamente, un RT o una ayuda para su total recuperación, Dios los bendiga. https://t.co/r4jY0929MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,7,Health,133,138,0.9916,Person,Judith,,,,,,173,196,https://t.co/USrcRNs1n0,https://gofund.me/ae5caede,gofund.me/ae5caede,2021-04-18T04:07:53+00:00,"1,38363335516648E+018",False,everyone,86114305,es,"1,38363335516648E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,0151a18c54bdbe02,TweetCaster for Android,"#Health AMIGOS LES PIDO ENCARECIDAMENTE AYUDA ASÍ SEA CON UN RT!!! Es la hermana de una querida amiga, muchísimas gracias!!! Ayuda a Judith en su batalla contra el Covid-19 https://t.co/USrcRNs1n0 vía @mtruzmanp",,,201,211,mtruzmanp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,-68.21654214,10.46846847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,0,,,,,,,,,,,,,,,,,,,2021-04-18T03:49:57+00:00,"1,3836288443184E+018",False,everyone,"9,92406039726383E+017",es,"1,38362883909644E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,0137799d4f960b21,Twitter for Android,Ojalá señora que usted también pueda conseguir los medicamentos para su hijo y la gente se concientice con nuestra enfermedad Ya que necesitamos de la ayuda de todas las personas Saludos señora con mucho respeto cuídese mucho del covid-19,replied_to,"1,38362884276645E+018",,,,"9,92406039726383E+017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
