created_at,author_id,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,source,id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/type,referenced_tweets/0/id,text,conversation_id,lang,reply_settings,possibly_sensitive,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,in_reply_to_user_id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,attachments/media_keys/0,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,geo/place_id,attachments/media_keys/1,attachments/media_keys/2,attachments/media_keys/3,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,entities/hashtags/12/start,entities/hashtags/12/end,entities/hashtags/12/tag,entities/hashtags/13/start,entities/hashtags/13/end,entities/hashtags/13/tag,entities/hashtags/14/start,entities/hashtags/14/end,entities/hashtags/14/tag,entities/hashtags/15/start,entities/hashtags/15/end,entities/hashtags/15/tag,entities/hashtags/16/start,entities/hashtags/16/end,entities/hashtags/16/tag,entities/hashtags/17/start,entities/hashtags/17/end,entities/hashtags/17/tag,entities/hashtags/18/start,entities/hashtags/18/end,entities/hashtags/18/tag,entities/hashtags/19/start,entities/hashtags/19/end,entities/hashtags/19/tag,entities/hashtags/20/start,entities/hashtags/20/end,entities/hashtags/20/tag,entities/hashtags/21/start,entities/hashtags/21/end,entities/hashtags/21/tag,entities/hashtags/22/start,entities/hashtags/22/end,entities/hashtags/22/tag,entities/hashtags/23/start,entities/hashtags/23/end,entities/hashtags/23/tag,entities/hashtags/24/start,entities/hashtags/24/end,entities/hashtags/24/tag,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/5/entity/description,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/7/domain/id,context_annotations/7/domain/name,context_annotations/7/domain/description,context_annotations/7/entity/id,context_annotations/7/entity/name,context_annotations/7/entity/description,context_annotations/8/domain/id,context_annotations/8/domain/name,context_annotations/8/domain/description,context_annotations/8/entity/id,context_annotations/8/entity/name,context_annotations/8/entity/description,context_annotations/1/entity/description,context_annotations/6/entity/description,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/urls/1/status,entities/urls/1/unwound_url
2021-04-28T23:17:21+00:00,119275260,0,8,0.9425,Place,Venezuela,252,275,https://t.co/mwmF9wHTlV,https://twitter.com/paulacramon/status/1387497256882946048,twitter.com/paulacramon/st…,Twitter for Android,1387546509202317312,0,0,0,0,quoted,1387497256882946048,"Venezuela: el país donde el fiscal general quiere sacar provecho del caso de los 2 ""HUMORISTAS"" que pusieron en tela de juicio el gofoundme de un artista enfermo, pero no ha emitido declaración alguna respecto a las acusaciones ya virales y conocidas. https://t.co/mwmF9wHTlV",1387546509202317312,es,everyone,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T05:21:31+00:00,117905831,95,103,0.9842,Place,Venezuela,198,221,https://t.co/LsoN99MNn5,https://gofund.me/508667e4,gofund.me/508667e4,Twitter for Android,1386550990766329858,0,0,0,0,,,"@the_efosa Hi, I'm a desperate son loocking for help to make a cirugy for my mother. We are in Venezuela in The middle of The pandemic and comunist chaos. Please take a look our gofoundme campaign. https://t.co/LsoN99MNn5",1386550990766329858,en,everyone,False,0,10,the_efosa,1192401797182349312,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19T05:30:00+00:00,881901086424145920,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,TweetDeck,1384016409257152514,0,0,0,0,,,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",1384016409257152514,es,everyone,False,,,,,,,,,,0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19T02:08:17+00:00,758349808017010688,43,47,0.3235,Person,Anirt,178,201,https://t.co/hVXOytHOyW,https://gofund.me/7a909042,gofund.me/7a909042,Twitter Web App,1383965645579063303,0,0,0,0,,,"Aún falta mucho, todavía los familiares de Anirt necesitan ayuda, son momentos muy fuertes para toda su familia

#Servicioupblico #RT #gofoundme #Venezuela 

En memoria de Anirt https://t.co/hVXOytHOyW",1383965645579063303,es,everyone,False,,,,,,,,,,113,129,Servicioupblico,130,133,RT,134,144,gofoundme,145,155,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18T22:00:00+00:00,881901086424145920,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wUl7MQ,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,TweetDeck,1383903162701070336,1,0,0,0,,,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ.",1383903162701070336,es,everyone,False,,,,,,,,,,0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18T08:30:00+00:00,881901086424145920,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,TweetDeck,1383699320143171584,0,0,0,0,,,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",1383699320143171584,es,everyone,False,,,,,,,,,,0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17T18:40:00+00:00,881901086424145920,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,TweetDeck,1383490442847612944,0,0,0,0,,,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",1383490442847612944,es,everyone,False,,,,,,,,,,0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16T17:50:00+00:00,881901086424145920,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wUl7MQ,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,TweetDeck,1383115472099500032,0,0,0,0,,,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ.",1383115472099500032,es,everyone,False,,,,,,,,,,0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16T04:30:00+00:00,881901086424145920,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/8sbH0pN3v3,https://bit.ly/3mPAg9s,bit.ly/3mPAg9s,TweetDeck,1382914146233061379,1,0,1,0,,,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/8sbH0pN3v3.",1382914146233061379,es,everyone,False,,,,,,,,,,0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16T01:50:00+00:00,881901086424145920,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,TweetDeck,1382873880239374343,0,0,0,0,,,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",1382873880239374343,es,everyone,False,,,,,,,,,,0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
