,
2021-01-27T21:09:00+00:00,"#ServicioPúblico Paciente recluida en el IHULA por #Covid_19 con complicaciones renales se requiere. 
🔹Catéter Bilumen 16cm 
12fr x 20cm 
14fr x 20 cm 
🔹Enoxaparina sódica de 40 MG
🔹monteluskat
🔹aspirina
🔹vitamina C
Cualquier información al 04141797005 
#Mérida"
2021-01-09T19:20:32+00:00,"#ServicioPúblico 
#Covid_19 
#Solidaridad 
#Tachira https://t.co/yDqIfFsUR1"
2021-01-02T00:44:12+00:00,"#01Ene #ServicioPublico 
Ayudemos a Lalito a vencer el COVID 19
El es el Dr. Edgar Rangel “Lalo”, tío de mis queridos amigos Maria y Libio. A continuación la hija de Lalo nos detalla la situación:
Mi papá, el Dr.…
Lee más aquí https://t.co/YPMJ2rV6QG"
2021-02-06T10:33:15+00:00,"#ServicioPúblico Para la abuela del dirigente estudiantil @LuisPalaciosHe presidente de la FCU-UCV, hospitalizada por COVID-19, se requiere con urgencia:

√ Enoxapirina 60mg
√ Metilprednisolona 200mg

Contacto: 0414-9122533 https://t.co/zQDW6OOEOH"
2021-03-30T19:42:31+00:00,"@fundasperven #ServicioPublico 
Yajaira necesita apoyo para superar la COVID-19. Más detalles, link de GoFundMe para ayudarla👇:
https://t.co/FtoKhqGxnN
@torresale71 @GreyMena"
2021-03-20T23:23:28+00:00,"#ServicioPúblico Para paciente con COVID-19 en #Guarenas se requiere con urgencia, en calidad de donación, lo siguiente:

√ Levofloxacina 500mg ampollas

√ Bombona de oxígeno

Contacto: Yuviris Coy
0424-1374295 https://t.co/HNhY5ndAQK"
2021-03-16T16:06:20+00:00,"#16marz #ServicioPublico 

🆘 Con carácter de URGENCIA buscamos este medicamento para paciente con #covid_19 en Caracas 

➡️ TOCILIZUMAB 200mg 

#Venezuela https://t.co/m9clSebp5U"
2021-03-14T23:05:39+00:00,"#ServicioPublico Recurrimos a tu apoyo y generosidad para ayudar a nuestro compañero Werner Gutiérrez Ferrer, exdecano de FagroLUZ, y su esposa Mirvana Boves, egresada de esta facultad,quienes en estos momentos padecen Covid-19. Dios les compense. (Inf en el flyer). https://t.co/7bgOARvS2S"
2021-04-21T14:32:36+00:00,"#ServicioPublico Les pido su colaboración para difundir o donar 🙏🏻 Es para mi papá 
https://t.co/IXleUgvnBs"
2021-04-12T16:14:09+00:00,"#ServicioPublico

Ayuda al Mtro. Rugeles para superar COVID

El Maestro  Alfredo Rugeles atraviesa una situación de salud delicada, acaba de ser diagnosticado de Covid-19 y fue hospitalizado por deficiencias respiratorias 

https://t.co/ruaWTKaiAy"
2021-04-10T16:36:13+00:00,"#10Abril. #ServicioPúblico 

#URGENTE Juan M Guerra necesita de ti (COVID-19) https://t.co/0EMCtjjJYU"
2021-04-07T14:51:06+00:00,"#ServicioPublico #Caracas Busco Remdisivir en ampolla para unos primos que tienen #Covid_19 

Si tienen información, porfa escríbanme al DM. https://t.co/j9k1Hx5bzw"
2021-04-06T00:01:51+00:00,#ServicioPublico | Para paciente con fibrosis pulmonar (Covid-19) en Caracas se requiere con carácter de urgencia Pirfenidona (Esbriet). ¡Gracias!
2021-04-01T11:43:51+00:00,"#ServicioPublico #MarbelisMiranda

Hoy necesita de nosotros.

Pedimos hoy, una mano amiga para que nuestra amiga pueda tener todos los recursos para enfrentar la COVID-19.

#PorLaSaludYLaVida en Carabobo https://t.co/drF4DwPC9E"
2021-05-05T23:12:34+00:00,"#ServicioPublico - para paciente covid-19 se requiere con urgencia Perfenidona en tabletas de 267 mg. La familia no la ha encontrado hasta ahora en Venezuela, pero si alguien tiene información, agradezco compartirla. https://t.co/dF9s1hMic7"
2021-05-04T19:03:35+00:00,#ServicioPúblico para mi primo médico Carlos Olivares Romero que está hospitalizado por Covid-19. Toda ayuda es importante. https://t.co/JRDbFb7KlU
